name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Beaver Creek		way	86690200	waterway	stream	-120.7970047	41.7618635	22	0.2			Modoc County	California	United States of America	us	Beaver Creek, Modoc County, California, United States of America	-120.8034865	41.7551353	-120.7852885	41.7706899			
Beet Camp Road		way	7929162	highway	residential	-120.5372745	41.3276143	22	0.2	Beet Camp Road		Modoc County	California	United States of America	us	Beet Camp Road, Modoc County, California, United States of America	-120.5620221	41.3268379	-120.5356110	41.3276599			
Bidwell Creek		way	86344397	multiple	ditch,stream	-120.1769811	41.9084366	22	0.2			Modoc County	California	United States of America	us	Bidwell Creek, Modoc County, California, United States of America	-120.1926758	41.8246718	-120.1390313	41.9709373			
Big Juniper Creek		way	86342215	waterway	stream	-120.4632197	41.3159757	22	0.2			Modoc County	California	United States of America	us	Big Juniper Creek, Modoc County, California, United States of America	-120.5284214	41.3115667	-120.3678089	41.3394099			
Bolan Creek		way	86348381	waterway	stream	-120.3176560	41.5773967	22	0.2			Modoc County	California	United States of America	us	Bolan Creek, Modoc County, California, United States of America	-120.3200816	41.5607235	-120.2959079	41.5863314			
Boles Creek		way	86652260	waterway	stream	-120.9650997	41.7950303	22	0.2			Modoc County	California	United States of America	us	Boles Creek, Modoc County, California, United States of America	-121.0066323	41.6821614	-120.8342819	41.9086577			
Bottle Creek		way	86683719	waterway	stream	-120.8154275	41.7332815	22	0.2			Modoc County	California	United States of America	us	Bottle Creek, Modoc County, California, United States of America	-120.8328100	41.7148065	-120.7958969	41.7415506			
Boyd Creek		way	86344401	waterway	stream	-120.2178170	41.6954885	22	0.2			Modoc County	California	United States of America	us	Boyd Creek, Modoc County, California, United States of America	-120.2490970	41.6892237	-120.1984564	41.6991518			
Bridge Street		way	7927147	highway	residential	-120.1532661	41.8577160	22	0.2	Bridge Street		Modoc County	California	United States of America	us	Bridge Street, Modoc County, California, United States of America	-120.1594020	41.8576570	-120.1513580	41.8665520			
Brown Creek		way	86347381	waterway	stream	-120.2269691	41.6296872	22	0.2			Modoc County	California	United States of America	us	Brown Creek, Modoc County, California, United States of America	-120.2472217	41.6251363	-120.2048252	41.6299688			
Bucher Creek		way	86341719	waterway	stream	-120.2268138	41.7025863	22	0.2			Modoc County	California	United States of America	us	Bucher Creek, Modoc County, California, United States of America	-120.2510617	41.6971801	-120.2075966	41.7097730			
Buck Creek		way	86345132	waterway	stream	-120.2746907	41.8860239	22	0.2			Modoc County	California	United States of America	us	Buck Creek, Modoc County, California, United States of America	-120.3012857	41.8702389	-120.2526821	41.8973347			
Bull Creek		way	86347870	waterway	stream	-120.0144784	41.4671829	22	0.2			Modoc County	California	United States of America	us	Bull Creek, Modoc County, California, United States of America	-120.0277748	41.4585357	-119.9960683	41.4828600			
Canby Street		way	7930955	highway	residential	-120.8732910	41.4471359	22	0.2	Canby Street		Modoc County	California	United States of America	us	Canby Street, Modoc County, California, United States of America	-120.8745050	41.4435060	-120.8709050	41.4471359			
Cantrall Creek		way	86343535	waterway	stream	-120.3151930	41.5449737	22	0.2			Modoc County	California	United States of America	us	Cantrall Creek, Modoc County, California, United States of America	-120.3365531	41.5362896	-120.2891216	41.5565427			
Canyon Creek		way	86342161	multiple	ditch,stream	-120.7298058	41.3474054	22	0.2			Modoc County	California	United States of America	us	Canyon Creek, Modoc County, California, United States of America	-120.7667636	41.2805227	-120.7075286	41.4270459			
Cedar Creek		way	86344386	waterway	stream	-120.2237476	41.5337672	22	0.2			Modoc County	California	United States of America	us	Cedar Creek, Modoc County, California, United States of America	-120.2569800	41.5297713	-120.1358362	41.5635513			
Center Street		way	7930257	highway	residential	-120.2153601	41.6446950	22	0.2	Center Street		Modoc County	California	United States of America	us	Center Street, Modoc County, California, United States of America	-120.2155610	41.6407731	-120.2147152	41.6466940			
Centerville Road		way	7927289	multiple	residential,unclassified	-120.8310100	41.4246630	22	0.2			Modoc County	California	United States of America	us	Centerville Road, Modoc County, California, United States of America	-120.8713181	41.4140029	-120.7830510	41.4434880			
Cherry Creek		way	7932055	multiple	residential,stream	-120.2184005	41.4837664	22	0.2			Modoc County	California	United States of America	us	Cherry Creek, Modoc County, California, United States of America	-120.3287874	41.3038770	-120.1663244	41.4983059			
Clear Lake Reservoir Road		way	7927197	highway	residential	-120.9506110	41.8391099	22	0.2	Clear Lake Reservoir Road		Modoc County	California	United States of America	us	Clear Lake Reservoir Road, Modoc County, California, United States of America	-121.1257820	41.8028630	-120.7659540	41.8460810			
Cole Creek		way	86372712	waterway	stream	-120.1403509	41.2748908	22	0.2			Modoc County	California	United States of America	us	Cole Creek, Modoc County, California, United States of America	-120.1603919	41.2724608	-120.1220627	41.2788107			
Corral Creek		way	86388351	waterway	stream	-120.5197940	41.9403576	22	0.2			Modoc County	California	United States of America	us	Corral Creek, Modoc County, California, United States of America	-120.5418919	41.9159840	-120.5128388	41.9871194			
Cottonwood Creek		way	86341906	waterway	stream	-120.2185159	41.4025756	22	0.2			Modoc County	California	United States of America	us	Cottonwood Creek, Modoc County, California, United States of America	-120.8038377	41.1839283	-120.0814057	41.9489052			
Couch Creek		way	86375390	waterway	stream	-120.3270090	41.6197257	22	0.2			Modoc County	California	United States of America	us	Couch Creek, Modoc County, California, United States of America	-120.3451562	41.6093977	-120.3215096	41.6473700			
County Road 1		way	7927796	highway	residential	-120.0371400	41.9019389	22	0.2	County Road 1		Modoc County	California	United States of America	us	County Road 1, Modoc County, California, United States of America	-120.1420230	41.8813779	-120.0086471	41.9132350			
County Road 151		way	7925031	multiple	residential,track	-120.4559601	41.2642710	22	0.2			Modoc County	California	United States of America	us	County Road 151, Modoc County, California, United States of America	-120.5302430	41.2481620	-120.3830921	41.3033399			
County Road 161		way	7925215	highway	residential	-120.8761720	41.4515280	22	0.2	County Road 161		Modoc County	California	United States of America	us	County Road 161, Modoc County, California, United States of America	-120.8806550	41.4469860	-120.8728200	41.4562180			
County Road 162		way	7925323	highway	residential	-120.8717300	41.4454180	22	0.2	County Road 162		Modoc County	California	United States of America	us	County Road 162, Modoc County, California, United States of America	-120.8759864	41.4435010	-120.8709271	41.4508390			
County Road 18		way	7927061	highway	residential	-120.0421220	41.5788389	22	0.2	County Road 18		Modoc County	California	United States of America	us	County Road 18, Modoc County, California, United States of America	-120.0568480	41.5765549	-120.0306880	41.5826420			
County Road 181		way	7925734	highway	residential	-120.5150521	41.8705209	22	0.2	County Road 181		Modoc County	California	United States of America	us	County Road 181, Modoc County, California, United States of America	-120.5311670	41.8662769	-120.4942070	41.8771150			
County Road 187A		way	7925628	multiple	residential,unclassified	-120.5092591	41.3071320	22	0.2			Modoc County	California	United States of America	us	County Road 187A, Modoc County, California, United States of America	-120.5219360	41.2812919	-120.5073360	41.3545820			
County Road 195		way	7926149	highway	residential	-120.2432230	41.5443910	22	0.2	County Road 195		Modoc County	California	United States of America	us	County Road 195, Modoc County, California, United States of America	-120.2630803	41.5340399	-120.2234901	41.5544939			
County Road 198		way	7926217	multiple	residential,unclassified	-120.8915450	41.2856899	22	0.2			Modoc County	California	United States of America	us	County Road 198, Modoc County, California, United States of America	-120.8948660	41.2778460	-120.8875780	41.2916660			
County Road 2		way	7927855	highway	residential	-120.1710010	41.9179739	22	0.2	County Road 2		Modoc County	California	United States of America	us	County Road 2, Modoc County, California, United States of America	-120.1804891	41.8708120	-120.1573160	41.9655540			
County Road 20		way	7927154	highway	residential	-120.1713040	41.5730970	22	0.2	County Road 20		Modoc County	California	United States of America	us	County Road 20, Modoc County, California, United States of America	-120.1843551	41.5723760	-120.1580121	41.5740359			
County Road 224		way	7931047	highway	residential	-120.1711220	41.8799789	22	0.2	County Road 224		Modoc County	California	United States of America	us	County Road 224, Modoc County, California, United States of America	-120.1837210	41.8692880	-120.1567731	41.8942410			
County Road 230		way	7931268	highway	residential	-120.6497201	41.4060189	22	0.2	County Road 230		Modoc County	California	United States of America	us	County Road 230, Modoc County, California, United States of America	-120.6656320	41.4030950	-120.6317520	41.4096459			
County Road 25		way	7927362	highway	residential	-120.2495680	41.5214129	22	0.2	County Road 25		Modoc County	California	United States of America	us	County Road 25, Modoc County, California, United States of America	-120.2875470	41.5080679	-120.1967190	41.5282940			
County Road 267		way	7924676	multiple	residential,track	-120.3721420	41.5770839	22	0.2			Modoc County	California	United States of America	us	County Road 267, Modoc County, California, United States of America	-120.3780721	41.5617860	-120.3697611	41.5917640			
County Road 27		way	7927556	highway	residential	-120.2101760	41.4676409	22	0.2	County Road 27		Modoc County	California	United States of America	us	County Road 27, Modoc County, California, United States of America	-120.2325751	41.4628930	-120.1781660	41.4786619			
County Road 29		way	7927689	highway	residential	-120.1478500	41.4420830	22	0.2	County Road 29		Modoc County	California	United States of America	us	County Road 29, Modoc County, California, United States of America	-120.1527950	41.4242320	-120.1335331	41.4420830			
County Road 33		way	7927918	highway	residential	-120.1414690	41.4119589	22	0.2	County Road 33		Modoc County	California	United States of America	us	County Road 33, Modoc County, California, United States of America	-120.1507700	41.4051200	-120.1298801	41.4165499			
County Road 38		way	7928220	highway	residential	-120.0575240	41.3155270	22	0.2	County Road 38		Modoc County	California	United States of America	us	County Road 38, Modoc County, California, United States of America	-120.1152220	41.3140740	-119.9998360	41.3224910			
